nuclide   ,mass                ,uncertainty         ,Year/link 
22Si      ,22.036114           ,0.000537            ,2020      
23C       ,23.068890           ,0.001070            ,2020      
23N       ,23.039421000        ,0.000451500         ,2020      
23O       ,23.015696686        ,0.000130663         ,2020      
23F       ,23.003526875        ,0.000035770         ,2020      
23Ne      ,22.994466905        ,0.000000112         ,2020      
23Na      ,22.98976928195      ,0.00000000194       ,2020      
23Mg      ,22.994123768        ,0.000000034         ,2020      
23Al      ,23.007244351        ,0.000000370         ,2020      
23Si      ,23.025711           ,0.000537            ,2020      
24N       ,24.050390           ,0.000430            ,2020      
24O       ,24.019861000        ,0.000177000         ,2020      
24F       ,24.008099370        ,0.000104853         ,2020      
24Ne      ,23.993610649        ,0.000000550         ,2020      
24Na      ,23.990963012        ,0.000000017         ,2020      
24Mg      ,23.985041689        ,0.000000013         ,2020      
24Al      ,23.999947598        ,0.000000244         ,2020      
24Si      ,24.011535430        ,0.000020904         ,2020      
24P       ,24.036522           ,0.000537            ,2020      
25N       ,25.060100           ,0.000540            ,2020      
25O       ,25.029338919        ,0.000177225         ,2020      
25F       ,25.012167727        ,0.000103535         ,2020      
25Ne      ,24.997814797        ,0.000031181         ,2020      
25Na      ,24.989953974        ,0.000001288         ,2020      
25Mg      ,24.985836966        ,0.000000050         ,2020      
25Al      ,24.990428308        ,0.000000069         ,2020      
25Si      ,25.004108798        ,0.000010735         ,2020      
25P       ,25.021675           ,0.000429            ,2020      
26O       ,26.037210155        ,0.000177081         ,2020      
26F       ,26.020048065        ,0.000114898         ,2020      
26Ne      ,26.000516496        ,0.000019784         ,2020      
26Na      ,25.992634649        ,0.000003759         ,2020      
26Mg      ,25.982592972        ,0.000000031         ,2020      
26Al      ,25.986891876        ,0.000000071         ,2020      
26Si      ,25.992333818        ,0.000000115         ,2020      
26P       ,26.011780           ,0.000210            ,2020      
26S       ,26.029716           ,0.000644            ,2020      
27O       ,27.047955           ,0.000537            ,2020      
27F       ,27.026981897        ,0.000129037         ,2020      
27Ne      ,27.007569462        ,0.000097445         ,2020      
27Na      ,26.994076408        ,0.000004000         ,2020      
27Mg      ,26.984340647        ,0.000000050         ,2020      
27Al      ,26.981538408        ,0.000000050         ,2020      
27Si      ,26.986704687        ,0.000000115         ,2020      
27P       ,26.999292499        ,0.000009662         ,2020      
27S       ,27.018777           ,0.000430            ,2020      
28O       ,28.055910           ,0.000750            ,2020      
28F       ,28.035860448        ,0.000129198         ,2020      
28Ne      ,28.012130767        ,0.000135339         ,2020      
28Na      ,27.998939000        ,0.000011000         ,2020      
28Mg      ,27.983875426        ,0.000000280         ,2020      
28Al      ,27.981910009        ,0.000000052         ,2020      
28Si      ,27.97692653442      ,0.00000000055       ,2020      
28P       ,27.992326460        ,0.000001231         ,2020      
28S       ,28.004372762        ,0.000171767         ,2020      
28Cl      ,28.030349           ,0.000537            ,2020      
29F       ,29.043103000        ,0.000564000         ,2020      
29Ne      ,29.019753000        ,0.000160500         ,2020      
29Na      ,29.002877091        ,0.000007876         ,2020      
29Mg      ,28.988607163        ,0.000000369         ,2020      
29Al      ,28.980453164        ,0.000000370         ,2020      
29Si      ,28.97649466434      ,0.00000000060       ,2020      
29P       ,28.981800368        ,0.000000385         ,2020      
29S       ,28.996678000        ,0.000014000         ,2020      
29Cl      ,29.015053           ,0.000203            ,2020      
29Ar      ,29.040761           ,0.000471            ,2020      
30F       ,30.052561           ,0.000537            ,2020      
30Ne      ,30.024992235        ,0.000271875         ,2020      
30Na      ,30.009097931        ,0.000005074         ,2020      
30Mg      ,29.990465454        ,0.000001390         ,2020      
30Al      ,29.982969171        ,0.000002077         ,2020      
30Si      ,29.973770137        ,0.000000023         ,2020      
30P       ,29.978313490        ,0.000000069         ,2020      
30S       ,29.984906770        ,0.000000221         ,2020      
30Cl      ,30.005018333        ,0.000025631         ,2020      
30Ar      ,30.023694           ,0.000192            ,2020      
31F       ,31.061023           ,0.000574            ,2020      
31Ne      ,31.033474816        ,0.000285772         ,2020      
31Na      ,31.013146654        ,0.000015000         ,2020      
31Mg      ,30.996648232        ,0.000003300         ,2020      
31Al      ,30.983949754        ,0.000002400         ,2020      
31Si      ,30.975363196        ,0.000000046         ,2020      
31P       ,30.97376199768      ,0.00000000080       ,2020      
31S       ,30.979557002        ,0.000000246         ,2020      
31Cl      ,30.992448097        ,0.000003700         ,2020      
31Ar      ,31.012158           ,0.000215            ,2020      
31K       ,31.036780           ,0.000322            ,2020      
32Ne      ,32.039720           ,0.000540            ,2020      
32Na      ,32.020011024        ,0.000040000         ,2020      
32Mg      ,31.999110138        ,0.000003500         ,2020      
32Al      ,31.988084338        ,0.000007700         ,2020      
32Si      ,31.974151538        ,0.000000320         ,2020      
32P       ,31.973907643        ,0.000000042         ,2020      
32S       ,31.97207117354      ,0.00000000141       ,2020      
32Cl      ,31.985684605        ,0.000000603         ,2020      
32Ar      ,31.997637824        ,0.000001900         ,2020      
32K       ,32.023607           ,0.000429            ,2020      
33Ne      ,33.049523           ,0.000644            ,2020      
33Na      ,33.025529000        ,0.000483000         ,2020      
33Mg      ,33.005327862        ,0.000002859         ,2020      
33Al      ,32.990877685        ,0.000007500         ,2020      
33Si      ,32.977976964        ,0.000000750         ,2020      
33P       ,32.971725692        ,0.000001170         ,2020      
33S       ,32.97145890862      ,0.00000000144       ,2020      
33Cl      ,32.977451988        ,0.000000419         ,2020      
