z         nuclide   A         mass                uncertainty         Year/link 
10        Ne        27        27.007569462        0.000097445         2020      
10        Ne        28        28.012130767        0.000135339         2020      
10        Ne        29        29.019753000        0.000160500         2020      
10        Ne        30        30.024992235        0.000271875         2020      
10        Ne        31        31.033474816        0.000285772         2020      
10        Ne        32        32.039720           0.000540            2020      
10        Ne        33        33.049523           0.000644            2020      
10        Ne        34        34.056728           0.000551            2020      
--------------------------------------------------------------------------------
11        Na        17        17.037273000        0.000064000         2020      
11        Na        18        18.026879388        0.000100785         2020      
11        Na        19        19.013880264        0.000011309         2020      
11        Na        20        20.007354301        0.000001190         2020      
11        Na        21        20.997654459        0.000000045         2020      
11        Na        22        21.994437547        0.000000141         2020      
11        Na        23        22.98976928195      0.00000000194       2020      
11        Na        24        23.990963012        0.000000017         2020      
11        Na        25        24.989953974        0.000001288         2020      
11        Na        26        25.992634649        0.000003759         2020      
11        Na        27        26.994076408        0.000004000         2020      
11        Na        28        27.998939000        0.000011000         2020      
11        Na        29        29.002877091        0.000007876         2020      
11        Na        30        30.009097931        0.000005074         2020      
11        Na        31        31.013146654        0.000015000         2020      
11        Na        32        32.020011024        0.000040000         2020      
11        Na        33        33.025529000        0.000483000         2020      
11        Na        34        34.034010000        0.000643500         2020      
11        Na        35        35.040614           0.000720            2020      
11        Na        36        36.049279           0.000737            2020      
11        Na        37        37.057042           0.000737            2020      
11        Na        38        38.066458           0.000768            2020      
11        Na        39        39.075123           0.000797            2020      
--------------------------------------------------------------------------------
12        Mg        19        19.034179920        0.000064413         2020      
12        Mg        20        20.018763075        0.000002000         2020      
12        Mg        21        21.011705764        0.000000810         2020      
12        Mg        22        21.999570597        0.000000170         2020      
12        Mg        23        22.994123768        0.000000034         2020      
12        Mg        24        23.985041689        0.000000013         2020      
12        Mg        25        24.985836966        0.000000050         2020      
12        Mg        26        25.982592972        0.000000031         2020      
12        Mg        27        26.984340647        0.000000050         2020      
12        Mg        28        27.983875426        0.000000280         2020      
12        Mg        29        28.988607163        0.000000369         2020      
12        Mg        30        29.990465454        0.000001390         2020      
12        Mg        31        30.996648232        0.000003300         2020      
12        Mg        32        31.999110138        0.000003500         2020      
12        Mg        33        33.005327862        0.000002859         2020      
12        Mg        34        34.008935455        0.000007400         2020      
