z         nuclide   A         mass                uncertainty         Year/link 
37        Rb        83        82.915114181        0.000002500         2020      
37        Rb        84        83.914375223        0.000002355         2020      
37        Rb        85        84.91178973604      0.00000000537       2020      
37        Rb        86        85.911167443        0.000000214         2020      
37        Rb        87        86.909180529        0.000000006         2020      
37        Rb        88        87.911315590        0.000000170         2020      
37        Rb        89        88.912278136        0.000005825         2020      
37        Rb        90        89.914797557        0.000006926         2020      
37        Rb        91        90.916537261        0.000008375         2020      
37        Rb        92        91.919728477        0.000006573         2020      
37        Rb        93        92.922039334        0.000008406         2020      
37        Rb        94        93.926394819        0.000002177         2020      
37        Rb        95        94.929263849        0.000021733         2020      
37        Rb        96        95.934133398        0.000003599         2020      
37        Rb        97        96.937177117        0.000002052         2020      
37        Rb        98        97.941632317        0.000017265         2020      
37        Rb        99        98.945119190        0.000004327         2020      
37        Rb        100       99.950331532        0.000014089         2020      
37        Rb        101       100.954302000       0.000022000         2020      
37        Rb        102       101.960008000       0.000089000         2020      
37        Rb        103       102.964401          0.000429            2020      
37        Rb        104       103.970531          0.000537            2020      
--------------------------------------------------------------------------------
38        Sr        73        72.965700           0.000430            2020      
38        Sr        74        73.956170           0.000107            2020      
38        Sr        75        74.949952767        0.000236183         2020      
38        Sr        76        75.941762760        0.000037000         2020      
38        Sr        77        76.937945454        0.000008500         2020      
38        Sr        78        77.932179979        0.000008000         2020      
38        Sr        79        78.929704692        0.000007967         2020      
38        Sr        80        79.924517538        0.000003718         2020      
38        Sr        81        80.923211393        0.000003358         2020      
38        Sr        82        81.918399845        0.000006432         2020      
38        Sr        83        82.917554372        0.000007336         2020      
38        Sr        84        83.913419118        0.000001334         2020      
38        Sr        85        84.912932041        0.000003020         2020      
38        Sr        86        85.90926072473      0.00000000563       2020      
38        Sr        87        86.90887749454      0.00000000550       2020      
38        Sr        88        87.905612253        0.000000006         2020      
38        Sr        89        88.907450808        0.000000098         2020      
38        Sr        90        89.907727870        0.000001555         2020      
38        Sr        91        90.910195942        0.000005853         2020      
38        Sr        92        91.911038222        0.000003675         2020      
38        Sr        93        92.914024314        0.000008109         2020      
38        Sr        94        93.915355641        0.000001785         2020      
38        Sr        95        94.919358282        0.000006237         2020      
38        Sr        96        95.921719045        0.000009089         2020      
38        Sr        97        96.926375621        0.000003633         2020      
38        Sr        98        97.928692636        0.000003463         2020      
38        Sr        99        98.932883604        0.000005085         2020      
38        Sr        100       99.935783270        0.000007426         2020      
38        Sr        101       100.940606264       0.000009103         2020      
38        Sr        102       101.944004679       0.000072000         2020      
38        Sr        103       102.949243          0.000215            2020      
38        Sr        104       103.953022          0.000322            2020      
38        Sr        105       104.959001          0.000537            2020      
38        Sr        106       105.963177          0.000644            2020      
38        Sr        107       106.969672          0.000751            2020      
--------------------------------------------------------------------------------
39        Y         75        74.965840           0.000322            2020      
39        Y         76        75.958937           0.000322            2020      
39        Y         77        76.950146           0.000218            2020      
39        Y         78        77.943990           0.000320            2020      
39        Y         79        78.937946000        0.000086000         2020      
39        Y         80        79.934354750        0.000006701         2020      
39        Y         81        80.929454283        0.000005802         2020      
39        Y         82        81.926930189        0.000005902         2020      
39        Y         83        82.922484026        0.000020000         2020      
39        Y         84        83.920671060        0.000004615         2020      
39        Y         85        84.916433039        0.000020360         2020      
39        Y         86        85.914886095        0.000015182         2020      
39        Y         87        86.910876100        0.000001210         2020      
39        Y         88        87.909501274        0.000001610         2020      
39        Y         89        88.905838156        0.000000363         2020      
39        Y         90        89.907141749        0.000000379         2020      
39        Y         91        90.907298048        0.000001978         2020      
39        Y         92        91.908945752        0.000009798         2020      
39        Y         93        92.909578434        0.000011259         2020      
39        Y         94        93.911592062        0.000006849         2020      
39        Y         95        94.912819697        0.000007277         2020      
39        Y         96        95.915909305        0.000006521         2020      
39        Y         97        96.918286702        0.000007201         2020      
39        Y         98        97.922394841        0.000008501         2020      
39        Y         99        98.924160839        0.000007101         2020      
39        Y         100       99.927727678        0.000012000         2020      
39        Y         101       100.930160817       0.000007601         2020      
39        Y         102       101.934328471       0.000004381         2020      
39        Y         103       102.937243796       0.000012029         2020      
39        Y         104       103.941943          0.000215            2020      
39        Y         105       104.945711          0.000429            2020      
39        Y         106       105.950842          0.000537            2020      
39        Y         107       106.954943          0.000537            2020      
39        Y         108       107.960515          0.000644            2020      
39        Y         109       108.965131          0.000751            2020      
--------------------------------------------------------------------------------
40        Zr        77        76.966076           0.000429            2020      
40        Zr        78        77.956146           0.000429            2020      
40        Zr        79        78.949790           0.000322            2020      
40        Zr        80        79.941213           0.000322            2020      
40        Zr        81        80.938245000        0.000099000         2020      
40        Zr        82        81.931707497        0.000001700         2020      
40        Zr        83        82.929240926        0.000006902         2020      
40        Zr        84        83.923325663        0.000005903         2020      
40        Zr        85        84.921443199        0.000006902         2020      
40        Zr        86        85.916296814        0.000003827         2020      
40        Zr        87        86.914817338        0.000004450         2020      
40        Zr        88        87.910220715        0.000005800         2020      
40        Zr        89        88.908879751        0.000002983         2020      
40        Zr        90        89.904698755        0.000000126         2020      
40        Zr        91        90.905640205        0.000000101         2020      
40        Zr        92        91.905035336        0.000000101         2020      
40        Zr        93        92.906470661        0.000000489         2020      
40        Zr        94        93.906312523        0.000000175         2020      
40        Zr        95        94.908040276        0.000000933         2020      
40        Zr        96        95.908277615        0.000000122         2020      
40        Zr        97        96.910963802        0.000000130         2020      
40        Zr        98        97.912740448        0.000009065         2020      
40        Zr        99        98.916675081        0.000011271         2020      
40        Zr        100       99.918010499        0.000008742         2020      
40        Zr        101       100.921458454       0.000008944         2020      
40        Zr        102       101.923154181       0.000009401         2020      
40        Zr        103       102.927204054       0.000009900         2020      
40        Zr        104       103.929449193       0.000010000         2020      
40        Zr        105       104.934021832       0.000013000         2020      
40        Zr        106       105.936930          0.000215            2020      
40        Zr        107       106.942007          0.000322            2020      
40        Zr        108       107.945303          0.000429            2020      
40        Zr        109       108.950907          0.000537            2020      
40        Zr        110       109.954675          0.000537            2020      
40        Zr        111       110.960837          0.000644            2020      
40        Zr        112       111.965196          0.000751            2020      
40        Zr        113       112.971723          0.000322            2020      
--------------------------------------------------------------------------------
41        Nb        79        78.966022           0.000537            2020      
41        Nb        80        79.958754           0.000429            2020      
41        Nb        81        80.950230           0.000429            2020      
41        Nb        82        81.944380           0.000322            2020      
41        Nb        83        82.938150000        0.000174000         2020      
41        Nb        84        83.934305711        0.000000430         2020      
41        Nb        85        84.928845836        0.000004400         2020      
41        Nb        86        85.925781536        0.000005903         2020      
41        Nb        87        86.920692473        0.000007302         2020      
41        Nb        88        87.918226476        0.000062059         2020      
41        Nb        89        88.913444696        0.000025367         2020      
41        Nb        90        89.911259201        0.000003561         2020      
41        Nb        91        90.906990256        0.000003140         2020      
41        Nb        92        91.907188580        0.000001915         2020      
41        Nb        93        92.906373170        0.000001599         2020      
41        Nb        94        93.907279001        0.000001600         2020      
41        Nb        95        94.906831110        0.000000545         2020      
41        Nb        96        95.908101586        0.000000157         2020      
41        Nb        97        96.908101622        0.000004556         2020      
41        Nb        98        97.910332645        0.000005369         2020      
41        Nb        99        98.911609377        0.000012886         2020      
41        Nb        100       99.914340578        0.000008562         2020      
41        Nb        101       100.915306508       0.000004024         2020      
41        Nb        102       101.918090447       0.000002695         2020      
41        Nb        103       102.919453416       0.000004224         2020      
41        Nb        104       103.922907728       0.000001915         2020      
41        Nb        105       104.924942577       0.000004324         2020      
41        Nb        106       105.928928505       0.000001520         2020      
41        Nb        107       106.931589685       0.000008612         2020      
41        Nb        108       107.936075604       0.000008844         2020      
41        Nb        109       108.939141000       0.000462500         2020      
41        Nb        110       109.943843000       0.000900000         2020      
41        Nb        111       110.947439          0.000322            2020      
41        Nb        112       111.952689          0.000322            2020      
41        Nb        113       112.956833          0.000429            2020      
41        Nb        114       113.962469          0.000537            2020      
41        Nb        115       114.966849          0.000537            2020      
41        Nb        116       115.972914          0.000322            2020      
--------------------------------------------------------------------------------
42        Mo        81        80.966226           0.000537            2020      
42        Mo        82        81.956661           0.000429            2020      
42        Mo        83        82.950252           0.000430            2020      
42        Mo        84        83.941846           0.000320            2020      
42        Mo        85        84.938260736        0.000017000         2020      
42        Mo        86        85.931174092        0.000003147         2020      
42        Mo        87        86.928196198        0.000003067         2020      
42        Mo        88        87.921967779        0.000004100         2020      
42        Mo        89        88.919468149        0.000004200         2020      
42        Mo        90        89.913931270        0.000003717         2020      
42        Mo        91        90.911745190        0.000006696         2020      
42        Mo        92        91.906807153        0.000000168         2020      
42        Mo        93        92.906808772        0.000000193         2020      
42        Mo        94        93.905083586        0.000000151         2020      
42        Mo        95        94.905837436        0.000000132         2020      
42        Mo        96        95.904674770        0.000000128         2020      
42        Mo        97        96.906016903        0.000000176         2020      
42        Mo        98        97.905403609        0.000000186         2020      
42        Mo        99        98.907707299        0.000000245         2020      
42        Mo        100       99.907467982        0.000000322         2020      
42        Mo        101       100.910337648       0.000000331         2020      
42        Mo        102       101.910293725       0.000008916         2020      
42        Mo        103       102.913091954       0.000009900         2020      
42        Mo        104       103.913747443       0.000009566         2020      
42        Mo        105       104.916981989       0.000009721         2020      
42        Mo        106       105.918273231       0.000009801         2020      
42        Mo        107       106.922119770       0.000009901         2020      
42        Mo        108       107.924047508       0.000009901         2020      
42        Mo        109       108.928438318       0.000012000         2020      
42        Mo        110       109.930717956       0.000026000         2020      
42        Mo        111       110.935651966       0.000013503         2020      
42        Mo        112       111.938293          0.000215            2020      
42        Mo        113       112.943478          0.000322            2020      
42        Mo        114       113.946666          0.000322            2020      
42        Mo        115       114.952174          0.000429            2020      
42        Mo        116       115.955759          0.000537            2020      
42        Mo        117       116.961686          0.000537            2020      
42        Mo        118       117.965249          0.000537            2020      
42        Mo        119       118.971465          0.000322            2020      
--------------------------------------------------------------------------------
43        Tc        83        82.966377           0.000537            2020      
43        Tc        84        83.959527           0.000429            2020      
43        Tc        85        84.950778           0.000429            2020      
43        Tc        86        85.944637           0.000322            2020      
43        Tc        87        86.938067185        0.000004500         2020      
43        Tc        88        87.933794211        0.000004400         2020      
43        Tc        89        88.927648649        0.000004100         2020      
43        Tc        90        89.924073919        0.000001100         2020      
43        Tc        91        90.918424972        0.000002536         2020      
43        Tc        92        91.915269777        0.000003330         2020      
43        Tc        93        92.910245147        0.000001086         2020      
43        Tc        94        93.909652319        0.000004370         2020      
43        Tc        95        94.907652281        0.000005453         2020      
43        Tc        96        95.907866675        0.000005524         2020      
43        Tc        97        96.906360720        0.000004420         2020      
43        Tc        98        97.907211206        0.000003628         2020      
43        Tc        99        98.906249681        0.000000974         2020      
43        Tc        100       99.907652715        0.000001450         2020      
43        Tc        101       100.907305271       0.000025768         2020      
43        Tc        102       101.909207239       0.000009840         2020      
43        Tc        103       102.909173960       0.000010531         2020      
43        Tc        104       103.911433718       0.000026716         2020      
43        Tc        105       104.911662024       0.000037856         2020      
43        Tc        106       105.914356674       0.000013150         2020      
43        Tc        107       106.915458437       0.000009310         2020      
43        Tc        108       107.918493493       0.000009413         2020      
43        Tc        109       108.920254107       0.000010380         2020      
43        Tc        110       109.923741263       0.000010195         2020      
43        Tc        111       110.925898966       0.000011359         2020      
43        Tc        112       111.929941658       0.000005920         2020      
43        Tc        113       112.932569032       0.000003600         2020      
43        Tc        114       113.937090000       0.000465000         2020      
43        Tc        115       114.940100          0.000210            2020      
43        Tc        116       115.945020          0.000320            2020      
43        Tc        117       116.948320          0.000429            2020      
43        Tc        118       117.953526          0.000429            2020      
43        Tc        119       118.956876          0.000537            2020      
43        Tc        120       119.962426          0.000537            2020      
43        Tc        121       120.966140          0.000537            2020      
43        Tc        122       121.971760          0.000322            2020      
--------------------------------------------------------------------------------
44        Ru        85        84.967117           0.000537            2020      
44        Ru        86        85.957305           0.000429            2020      
44        Ru        87        86.950907           0.000429            2020      
44        Ru        88        87.941664           0.000322            2020      
44        Ru        89        88.937337849        0.000026000         2020      
44        Ru        90        89.930344378        0.000004004         2020      
44        Ru        91        90.926741530        0.000002384         2020      
44        Ru        92        91.920234373        0.000002917         2020      
44        Ru        93        92.917104442        0.000002216         2020      
44        Ru        94        93.911342860        0.000003374         2020      
44        Ru        95        94.910404415        0.000010200         2020      
44        Ru        96        95.907588910        0.000000182         2020      
44        Ru        97        96.907545776        0.000002965         2020      
44        Ru        98        97.905286709        0.000006937         2020      
44        Ru        99        98.905930284        0.000000368         2020      
44        Ru        100       99.904210460        0.000000367         2020      
44        Ru        101       100.905573086       0.000000443         2020      
44        Ru        102       101.904340312       0.000000446         2020      
44        Ru        103       102.906314846       0.000000473         2020      
44        Ru        104       103.905425312       0.000002682         2020      
44        Ru        105       104.907745478       0.000002683         2020      
44        Ru        106       105.907328181       0.000005787         2020      
44        Ru        107       106.909969837       0.000009310         2020      
44        Ru        108       107.910185793       0.000009318         2020      
44        Ru        109       108.913323707       0.000009612         2020      
44        Ru        110       109.914038501       0.000009580         2020      
44        Ru        111       110.917567566       0.000010394         2020      
44        Ru        112       111.918806922       0.000010305         2020      
44        Ru        113       112.922846729       0.000041097         2020      
44        Ru        114       113.924614430       0.000003817         2020      
44        Ru        115       114.929033049       0.000027016         2020      
44        Ru        116       115.931219191       0.000004000         2020      
44        Ru        117       116.936135000       0.000465000         2020      
44        Ru        118       117.938808          0.000215            2020      
44        Ru        119       118.944090          0.000322            2020      
44        Ru        120       119.946623          0.000429            2020      
44        Ru        121       120.952098          0.000429            2020      
44        Ru        122       121.955147          0.000537            2020      
44        Ru        123       122.960762          0.000537            2020      
44        Ru        124       123.963940          0.000644            2020      
44        Ru        125       124.969544          0.000322            2020      
--------------------------------------------------------------------------------
45        Rh        88        87.960429           0.000429            2020      
45        Rh        89        88.950992           0.000387            2020      
45        Rh        90        89.944569           0.000215            2020      
45        Rh        91        90.937123           0.000320            2020      
45        Rh        92        91.932367692        0.000004700         2020      
45        Rh        93        92.925912778        0.000002821         2020      
45        Rh        94        93.921730450        0.000003627         2020      
45        Rh        95        94.915897893        0.000004171         2020      
45        Rh        96        95.914451705        0.000010737         2020      
45        Rh        97        96.911327872        0.000038071         2020      
45        Rh        98        97.910707734        0.000012782         2020      
45        Rh        99        98.908121241        0.000020881         2020      
45        Rh        100       99.908114147        0.000019458         2020      
45        Rh        101       100.906158903       0.000006270         2020      
45        Rh        102       101.906834282       0.000006880         2020      
45        Rh        103       102.905494081       0.000002470         2020      
45        Rh        104       103.906645309       0.000002471         2020      
45        Rh        105       104.905687787       0.000002685         2020      
45        Rh        106       105.907285879       0.000005786         2020      
45        Rh        107       106.906747975       0.000012937         2020      
45        Rh        108       107.908715304       0.000015026         2020      
45        Rh        109       108.908749555       0.000004336         2020      
45        Rh        110       109.911079745       0.000019114         2020      
45        Rh        111       110.911643164       0.000007356         2020      
45        Rh        112       111.914405199       0.000047327         2020      
45        Rh        113       112.915440212       0.000007656         2020      
45        Rh        114       113.918721680       0.000076824         2020      
45        Rh        115       114.920311649       0.000007857         2020      
45        Rh        116       115.924062060       0.000079261         2020      
45        Rh        117       116.926036291       0.000009548         2020      
45        Rh        118       117.930341116       0.000026018         2020      
45        Rh        119       118.932556951       0.000010000         2020      
45        Rh        120       119.937069          0.000215            2020      
45        Rh        121       120.939613000       0.000665000         2020      
45        Rh        122       121.944305          0.000322            2020      
45        Rh        123       122.947192          0.000429            2020      
45        Rh        124       123.952002          0.000429            2020      
45        Rh        125       124.955094          0.000537            2020      
45        Rh        126       125.960064          0.000537            2020      
45        Rh        127       126.963789          0.000644            2020      
45        Rh        128       127.970649          0.000322            2020      
--------------------------------------------------------------------------------
46        Pd        90        89.957370           0.000429            2020      
46        Pd        91        90.950435           0.000454            2020      
46        Pd        92        91.941192225        0.000370402         2020      
46        Pd        93        92.936680426        0.000397221         2020      
46        Pd        94        93.929036286        0.000004602         2020      
46        Pd        95        94.924888506        0.000003253         2020      
46        Pd        96        95.918213739        0.000004502         2020      
46        Pd        97        96.916471985        0.000005200         2020      
46        Pd        98        97.912698335        0.000005090         2020      
46        Pd        99        98.911773073        0.000005482         2020      
46        Pd        100       99.908520438        0.000018934         2020      
46        Pd        101       100.908284824       0.000004925         2020      
46        Pd        102       101.905632292       0.000000449         2020      
46        Pd        103       102.906111074       0.000000942         2020      
46        Pd        104       103.904030393       0.000001434         2020      
46        Pd        105       104.905079479       0.000001222         2020      
46        Pd        106       105.903480287       0.000001186         2020      
46        Pd        107       106.905128058       0.000001289         2020      
46        Pd        108       107.903891806       0.000001189         2020      
46        Pd        109       108.905950576       0.000001195         2020      
46        Pd        110       109.905172878       0.000000657         2020      
46        Pd        111       110.907690358       0.000000785         2020      
46        Pd        112       111.907330557       0.000007027         2020      
46        Pd        113       112.910261912       0.000007458         2020      
46        Pd        114       113.910369430       0.000007459         2020      
46        Pd        115       114.913659333       0.000014543         2020      
46        Pd        116       115.914297872       0.000007659         2020      
46        Pd        117       116.917955584       0.000007788         2020      
46        Pd        118       117.919067273       0.000002677         2020      
46        Pd        119       118.923341138       0.000008854         2020      
46        Pd        120       119.924551745       0.000002464         2020      
46        Pd        121       120.928950342       0.000003600         2020      
46        Pd        122       121.930631693       0.000021000         2020      
46        Pd        123       122.935126000       0.000847500         2020      
46        Pd        124       123.937305          0.000322            2020      
46        Pd        125       124.942072          0.000429            2020      
46        Pd        126       125.944401          0.000429            2020      
46        Pd        127       126.949307          0.000537            2020      
46        Pd        128       127.952345          0.000537            2020      
46        Pd        129       128.959334          0.000644            2020      
46        Pd        130       129.964863          0.000322            2020      
46        Pd        131       130.972367          0.000322            2020      
--------------------------------------------------------------------------------
47        Ag        92        91.959710           0.000429            2020      
47        Ag        93        92.950188           0.000430            2020      
47        Ag        94        93.943744           0.000429            2020      
47        Ag        95        94.935688           0.000429            2020      
47        Ag        96        95.930743903        0.000096708         2020      
47        Ag        97        96.923881400        0.000012900         2020      
47        Ag        98        97.921559970        0.000035327         2020      
47        Ag        99        98.917645766        0.000006725         2020      
47        Ag        100       99.916115443        0.000005367         2020      
47        Ag        101       100.912683951       0.000005193         2020      
47        Ag        102       101.911704538       0.000008771         2020      
47        Ag        103       102.908960558       0.000004400         2020      
47        Ag        104       103.908623715       0.000004527         2020      
47        Ag        105       104.906525604       0.000004877         2020      
47        Ag        106       105.906663499       0.000003237         2020      
47        Ag        107       106.905091509       0.000002556         2020      
47        Ag        108       107.905950245       0.000002563         2020      
47        Ag        109       108.904755778       0.000001381         2020      
47        Ag        110       109.906110724       0.000001380         2020      
47        Ag        111       110.905296827       0.000001565         2020      
47        Ag        112       111.907048548       0.000002600         2020      
47        Ag        113       112.906572865       0.000017866         2020      
47        Ag        114       113.908823029       0.000004900         2020      
47        Ag        115       114.908767445       0.000019611         2020      
47        Ag        116       115.911386809       0.000003500         2020      
47        Ag        117       116.911774086       0.000014570         2020      
47        Ag        118       117.914595484       0.000002700         2020      
47        Ag        119       118.915570309       0.000015783         2020      
47        Ag        120       119.918784765       0.000004800         2020      
47        Ag        121       120.920125279       0.000013000         2020      
47        Ag        122       121.923664446       0.000041000         2020      
47        Ag        123       122.925315060       0.000035000         2020      
47        Ag        124       123.928899227       0.000270000         2020      
47        Ag        125       124.930735000       0.000465000         2020      
47        Ag        126       125.934814          0.000215            2020      
47        Ag        127       126.937037          0.000215            2020      
47        Ag        128       127.941266          0.000322            2020      
47        Ag        129       128.944315          0.000429            2020      
47        Ag        130       129.950727          0.000455            2020      
47        Ag        131       130.956253          0.000537            2020      
47        Ag        132       131.963070          0.000537            2020      
47        Ag        133       132.968781          0.000537            2020      
--------------------------------------------------------------------------------
48        Cd        94        93.956586           0.000537            2020      
48        Cd        95        94.949483           0.000607            2020      
48        Cd        96        95.940341           0.000440            2020      
48        Cd        97        96.934799343        0.000451073         2020      
48        Cd        98        97.927389315        0.000055605         2020      
48        Cd        99        98.924925845        0.000001700         2020      
48        Cd        100       99.920348829        0.000001800         2020      
48        Cd        101       100.918586209       0.000001600         2020      
48        Cd        102       101.914481797       0.000001784         2020      
48        Cd        103       102.913416922       0.000001943         2020      
48        Cd        104       103.909856228       0.000001795         2020      
48        Cd        105       104.909463893       0.000001494         2020      
48        Cd        106       105.906459791       0.000001184         2020      
48        Cd        107       106.906612049       0.000001782         2020      
48        Cd        108       107.904183588       0.000001205         2020      
48        Cd        109       108.904986697       0.000001649         2020      
48        Cd        110       109.903007470       0.000000407         2020      
48        Cd        111       110.904183776       0.000000383         2020      
48        Cd        112       111.902763896       0.000000268         2020      
48        Cd        113       112.904408105       0.000000262         2020      
48        Cd        114       113.903364998       0.000000296         2020      
48        Cd        115       114.905437426       0.000000699         2020      
48        Cd        116       115.904763230       0.000000172         2020      
48        Cd        117       116.907226039       0.000001087         2020      
48        Cd        118       117.906921956       0.000021471         2020      
48        Cd        119       118.909847052       0.000040467         2020      
48        Cd        120       119.909868065       0.000004000         2020      
48        Cd        121       120.912963660       0.000002085         2020      
48        Cd        122       121.913459050       0.000002468         2020      
48        Cd        123       122.916892460       0.000002894         2020      
48        Cd        124       123.917659772       0.000002800         2020      
48        Cd        125       124.921257590       0.000003100         2020      
48        Cd        126       125.922430290       0.000002473         2020      
48        Cd        127       126.926203291       0.000006656         2020      
48        Cd        128       127.927816778       0.000006905         2020      
48        Cd        129       128.932235597       0.000005700         2020      
48        Cd        130       129.934387563       0.000024000         2020      
48        Cd        131       130.940727740       0.000020653         2020      
48        Cd        132       131.945823136       0.000064485         2020      
48        Cd        133       132.952614          0.000215            2020      
48        Cd        134       133.957638          0.000322            2020      
48        Cd        135       134.964766          0.000429            2020      
--------------------------------------------------------------------------------
49        In        96        95.959109           0.000537            2020      
49        In        97        96.949125           0.000430            2020      
49        In        98        97.942129           0.000327            2020      
49        In        99        98.934110           0.000320            2020      
49        In        100       99.931101929        0.000002400         2020      
49        In        101       100.926414025       0.000012519         2020      
49        In        102       101.924105911       0.000004909         2020      
49        In        103       102.919878830       0.000009640         2020      
49        In        104       103.918214538       0.000006200         2020      
49        In        105       104.914502322       0.000011000         2020      
49        In        106       105.913463596       0.000013125         2020      
49        In        107       106.910287497       0.000010363         2020      
49        In        108       107.909693654       0.000009276         2020      
49        In        109       108.907149679       0.000004261         2020      
49        In        110       109.907170674       0.000012402         2020      
49        In        111       110.905107236       0.000003675         2020      
49        In        112       111.905538718       0.000004563         2020      
49        In        113       112.904060451       0.000000202         2020      
49        In        114       113.904916405       0.000000323         2020      
49        In        115       114.903878772       0.000000012         2020      
49        In        116       115.905259992       0.000000236         2020      
49        In        117       116.904515729       0.000005239         2020      
49        In        118       117.906356705       0.000008322         2020      
49        In        119       118.905851622       0.000007847         2020      
49        In        120       119.907967489       0.000042953         2020      
49        In        121       120.907852778       0.000029435         2020      
49        In        122       121.910282458       0.000053741         2020      
49        In        123       122.910435252       0.000021290         2020      
49        In        124       123.913184873       0.000032808         2020      
49        In        125       124.913673841       0.000001900         2020      
49        In        126       125.916468202       0.000004500         2020      
49        In        127       126.917466040       0.000010736         2020      
49        In        128       127.920353637       0.000001419         2020      
49        In        129       128.921808534       0.000002116         2020      
49        In        130       129.924952257       0.000001921         2020      
49        In        131       130.926972839       0.000002367         2020      
49        In        132       131.932998444       0.000064447         2020      
49        In        133       132.938067          0.000215            2020      
49        In        134       133.944208          0.000215            2020      
49        In        135       134.949425          0.000322            2020      
49        In        136       135.956017          0.000322            2020      
49        In        137       136.961535          0.000429            2020      
--------------------------------------------------------------------------------
50        Sn        99        98.948495           0.000625            2020      
50        Sn        100       99.938648944        0.000257661         2020      
50        Sn        101       100.935259252       0.000322068         2020      
50        Sn        102       101.930289525       0.000107466         2020      
50        Sn        103       102.927973          0.000108            2020      
50        Sn        104       103.923105195       0.000006167         2020      
50        Sn        105       104.921268421       0.000004263         2020      
50        Sn        106       105.916957394       0.000005465         2020      
50        Sn        107       106.915713649       0.000005700         2020      
50        Sn        108       107.911894290       0.000005778         2020      
50        Sn        109       108.911292857       0.000008533         2020      
50        Sn        110       109.907844835       0.000014790         2020      
50        Sn        111       110.907741143       0.000005728         2020      
50        Sn        112       111.904824894       0.000000315         2020      
50        Sn        113       112.905175857       0.000001690         2020      
50        Sn        114       113.902780130       0.000000031         2020      
50        Sn        115       114.903344695       0.000000016         2020      
50        Sn        116       115.901742825       0.000000103         2020      
50        Sn        117       116.902954036       0.000000518         2020      
50        Sn        118       117.901606630       0.000000536         2020      
50        Sn        119       118.903311266       0.000000778         2020      
50        Sn        120       119.902202557       0.000000987         2020      
50        Sn        121       120.904243488       0.000001050         2020      
50        Sn        122       121.903445494       0.000002627         2020      
50        Sn        123       122.905727065       0.000002661         2020      
50        Sn        124       123.905279619       0.000001410         2020      
50        Sn        125       124.907789370       0.000001426         2020      
50        Sn        126       125.907658958       0.000011473         2020      
50        Sn        127       126.910391726       0.000009904         2020      
50        Sn        128       127.910507828       0.000018982         2020      
50        Sn        129       128.913482440       0.000018540         2020      
50        Sn        130       129.913974531       0.000002010         2020      
50        Sn        131       130.917053067       0.000003887         2020      
50        Sn        132       131.917823898       0.000002121         2020      
50        Sn        133       132.923913753       0.000002043         2020      
50        Sn        134       133.928680430       0.000003400         2020      
50        Sn        135       134.934908603       0.000003300         2020      
50        Sn        136       135.939699          0.000215            2020      
50        Sn        137       136.946162          0.000322            2020      
50        Sn        138       137.951143          0.000429            2020      
50        Sn        139       138.957799          0.000429            2020      
50        Sn        140       139.962973          0.000322            2020      
--------------------------------------------------------------------------------
51        Sb        102       101.945142          0.000429            2020      
51        Sb        103       102.939162          0.000322            2020      
51        Sb        104       103.936344          0.000109            2020      
51        Sb        105       104.931276547       0.000023431         2020      
